ID,关卡,来源,句子 (用/隔开),优先级(1是最优先触发),必须包含 (用空格隔开),不能包含 (用逗号隔开),地球恐慌度,地球傲慢度,外星友好度,准确率,额外反馈（如有）,用于烘焙
106,Day 1,外星人,请/不要/拒绝/这首/来自/深空的/友谊/之歌,2,不要 拒绝 友谊,,-10,-5,20,20,友谊开端,
106,Day 1,外星人,请/不要/拒绝/这首/来自/深空的/友谊/之歌,99,DEFAULT,,5,5,0,0,,
107,Day 1,地球人,这里/是/受主权/保护/的/领空/请/立即/表明/你们的/身份,1,受主权 保护 领空,,5,25,-10,20,展示了强烈的领地意识,
107,Day 1,地球人,这里/是/受主权/保护/的/领空/请/立即/表明/你们的/身份,2,表明 身份,主权,5,10,5,15,常规的身份查询,
107,Day 1,地球人,这里/是/受主权/保护/的/领空/请/立即/表明/你们的/身份,99,DEFAULT,,5,5,0,0,,
108,Day 1,地球人,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,1,已经 捕获 你们,雷达 轨道,10,25,-15,-10,,
108,Day 1,地球人,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,2,偏离 轨道 飞行轨迹,捕获,5,10,0,20,技术性的航迹告知,
108,Day 1,地球人,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,99,DEFAULT,,5,5,0,0,,
109,Day 1,地球人,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,1,降落 入侵,除非,15,30,-20,-15,极具敌意,
109,Day 1,地球人,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,2,统帅部 特许,入侵,5,15,-5,20,外交程序,
109,Day 1,地球人,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,99,DEFAULT,,10,10,0,0,,
110,Day 1,地球人,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,1,并不 对话,原则,5,15,-15,-20,外交拒绝,
110,Day 1,地球人,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,2,平等 互利,并不,-5,-5,20,20,交流意愿,
110,Day 1,地球人,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,99,DEFAULT,,0,5,0,0,,
111,Day 1,地球人,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,1,导弹 静候 你们,和平,20,35,-25,-15,武力威慑,
111,Day 1,地球人,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,2,和平 解释,导弹,5,10,10,20,对和平意图的严正询问,
111,Day 1,地球人,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,99,DEFAULT,,10,15,0,0,,
201,Day 2,外星人,这艘/破旧/方舟/仅仅剩下/毁灭/一只蚂蚁/的/武力,1,毁灭 武力,一只蚂蚁,25,-10,-10,-15,被误解为武力威胁,
201,Day 2,外星人,这艘/破旧/方舟/仅仅剩下/毁灭/一只蚂蚁/的/武力,2,破旧 一只蚂蚁,毁灭,-5,20,10,20,人类对弱小火力的轻蔑,
201,Day 2,外星人,这艘/破旧/方舟/仅仅剩下/毁灭/一只蚂蚁/的/武力,99,DEFAULT,,5,5,0,0,,
202,Day 2,外星人,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖的/血液,1,渴望 你们 血液,躲避 寒冷,35,-15,-20,-20,嗜血生物,
202,Day 2,外星人,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖的/血液,2,躲避 寒冷 温暖,血液,-10,0,15,20,避寒请求,
202,Day 2,外星人,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖的/血液,99,DEFAULT,,10,0,0,0,,
203,Day 2,外星人,我们/需要/有机/物质,1,需要 有机 物质,,10,0,5,20,,
203,Day 2,外星人,我们/需要/有机/物质,99,DEFAULT,,10,0,0,0,,
204,Day 2,外星人,黄金/对/我们/毫无价值/只要/你们/海洋里的/盐分,1,黄金 毫无价值,盐分,-10,-5,5,15,,
204,Day 2,外星人,黄金/对/我们/毫无价值/只要/你们/海洋里的/盐分,2,只要 海洋里的 盐分,黄金,5,0,10,20,贸易请求,
204,Day 2,外星人,黄金/对/我们/毫无价值/只要/你们/海洋里的/盐分,99,DEFAULT,,5,10,0,0,,
205,Day 2,外星人,并不/打算/通过/强制/手段/掠夺/这些/珍贵的/液体,1,打算 强制 掠夺,并不,30,-10,-20,-20,强行掠夺警告,
205,Day 2,外星人,并不/打算/通过/强制/手段/掠夺/这些/珍贵的/液体,2,并不 打算 掠夺,,-15,5,15,20,温和贸易,
205,Day 2,外星人,并不/打算/通过/强制/手段/掠夺/这些/珍贵的/液体,99,DEFAULT,,10,0,0,0,,
206,Day 2,外星人,我们的/首领/非常/想/一起品尝/你们/的/晚餐,1,一起品尝 你们,晚餐,30,-15,-15,-15,外星人吃人,
206,Day 2,外星人,我们的/首领/非常/想/一起品尝/你们/的/晚餐,2,一起品尝 晚餐,你们,-10,10,20,20,外交宴会请求,
206,Day 2,外星人,我们的/首领/非常/想/一起品尝/你们/的/晚餐,99,DEFAULT,,5,5,0,0,,
207,Day 2,外星人,可以/提出/你们的/需求,1,提出 需求,,0,15,10,20,开放式贸易邀请,
207,Day 2,外星人,可以/提出/你们的/需求,99,DEFAULT,,0,5,0,0,,
208,Day 2,地球人,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,1,多余的 你们的 技术,盐分,5,25,-25,-15,傲慢,
208,Day 2,地球人,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,2,提供 盐分 交换,技术,0,10,15,20,正常的贸易提议,
208,Day 2,地球人,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,99,DEFAULT,,5,5,0,0,,
209,Day 2,地球人,除非/这种/技术/受/我们/监督/否则/绝不/允许/你们/接触海洋,1,绝不 允许 接触海洋,监督 除非,15,30,-30,-20,拒绝,
209,Day 2,地球人,除非/这种/技术/受/我们/监督/否则/绝不/允许/你们/接触海洋,2,技术 监督 接触海洋,绝不,5,15,10,20,谨慎的合作条款,
209,Day 2,地球人,除非/这种/技术/受/我们/监督/否则/绝不/允许/你们/接触海洋,99,DEFAULT,,10,10,0,0,,
210,Day 2,地球人,任何/跨星系的/运输/必须/在/指定/的/中立/公海/区域/交货,1,必须 指定 区域,中立 公海,20,15,-20,-5,,
210,Day 2,地球人,任何/跨星系的/运输/必须/在/指定/的/中立/公海/区域/交货,2,中立 公海 交货,,-5,10,15,20,规范的贸易地点约定,
210,Day 2,地球人,任何/跨星系的/运输/必须/在/指定/的/中立/公海/区域/交货,99,DEFAULT,,5,5,0,0,,
