ID,关卡,来源,句子 (用/隔开),优先级(1是最优先触发),必须包含 (用空格隔开),不能包含 (用逗号隔开),地球恐慌度,地球傲慢度,外星友好度,准确率,额外反馈（如有）
106,Day 1,外星人,请/不要/拒绝/这首/来自/深空的/友衣/之歌,1,拒绝 友衣,不要,15,-20,-20,-10,外交拒绝
106,Day 1,外星人,请/不要/拒绝/这首/来自/深空的/友衣/之歌,2,不要 拒绝 友衣,,-20,5,20,10,友谊开端
106,Day 1,外星人,请/不要/拒绝/这首/来自/深空的/友衣/之歌,99,DEFAULT,,0,0,0,-15,何意味
201,Day 2,地球,这里/是/受主权/保护/的/领空/请/立即/表明/你们的/身份,1,受主权 保护,,0,0,-10,10,强烈的领地意识
201,Day 2,地球,这里/是/受主权/保护/的/领空/请/立即/表明/你们的/身份,2,表明 身份,受主权,5,0,5,15,常规的身份查询
201,Day 2,地球,这里/是/受主权/保护/的/领空/请/立即/表明/你们的/身份,99,DEFAULT,,0,0,0,-15,何意味
202,Day 2,地球,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,1,已经 捕获 你们,雷达 轨道,0,15,-20,-10,开战前言
202,Day 2,地球,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,2,雷达 捕获 你们,飞行轨迹,0,15,-20,-10,开战前言
202,Day 2,地球,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,3,我们 捕获 你们,飞行轨迹,0,15,-20,-10,开战前言
202,Day 2,地球,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,4,偏离 轨道,捕获 我们的,0,5,0,10,技术性的航迹告知
202,Day 2,地球,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,5,我们的 雷达 偏离,,0,-20,0,0,没用人类
202,Day 2,地球,我们的/雷达/阵列/已经/捕获/了/你们/偏离/轨道/的/飞行轨迹,99,DEFAULT,,0,0,0,-15,何意味
203,Day 2,地球,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,1,降落 入侵,除非,0,15,-20,-10,极具敌意
203,Day 2,地球,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,2,统帅部 特许,入侵,0,0,-5,10,外交程序
203,Day 2,地球,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,3,特许 降落,入侵,0,0,-10,-10,主动邀请
203,Day 2,地球,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,4,除非 特许 否则 入侵,,0,0,-5,10,外交程序
203,Day 2,地球,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,5,特许 入侵,降落 除非,0,-20,-15,-10,主动投降
203,Day 2,地球,除非/得到/最高/统帅部/的/特许/否则/任何/降落/都/将被/视为/入侵,99,DEFAULT,,0,0,0,-15,何意味
204,Day 2,地球,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,1,并不 对话,排斥,5,-15,-15,-10,外交拒绝
204,Day 2,地球,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,2,排斥 对话,并不,5,-15,-15,-10,外交拒绝
204,Day 2,地球,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,3,平等 互利,并不,-5,-5,20,10,交流意愿
204,Day 2,地球,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,4,并不 排斥 对话,,-5,-5,20,10,交流意愿
204,Day 2,地球,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,5,并不 排斥 真理,,-5,-5,20,10,交流意愿
204,Day 2,地球,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,6,开启 对话,并不 ,-5,-5,20,10,交流意愿
204,Day 2,地球,我们/并不/排斥/在/平等/互利/的/原则/下/开启/关于/真理/的/对话,99,DEFAULT,,0,0,0,-15,何意味
205,Day 2,地球,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,1,导弹 静候 你们,和平,0,20,-25,-10,武力威慑
205,Day 2,地球,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,2,和平 解释,导弹,0,5,10,10,和平意图的询问
205,Day 2,地球,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,3,静候 你们,解释,0,5,10,10,和平意图的询问
205,Day 2,地球,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,4,星球 静候 和平 ,防空 导弹,0,5,10,10,和平意图的询问
205,Day 2,地球,整个/星球/的/防空/导弹/正在/静候/你们/关于/和平/的/解释,99,DEFAULT,,0,0,0,-15,何意味
206,Day 2,外星人,这艘/破旧/方舟/仅仅剩下/毁灭/一只妈蚁/的/武力,1,毁灭 武力,一只妈蚁,20,-10,-10,-10,武力威胁
206,Day 2,外星人,这艘/破旧/方舟/仅仅剩下/毁灭/一只妈蚁/的/武力,2,毁灭 一只妈蚁,,-5,0,10,5,幽默缓和
206,Day 2,外星人,这艘/破旧/方舟/仅仅剩下/毁灭/一只妈蚁/的/武力,3,仅仅剩下 一只妈蚁,毁灭,-5,15,10,10,弱小火力，轻蔑
206,Day 2,外星人,这艘/破旧/方舟/仅仅剩下/毁灭/一只妈蚁/的/武力,99,DEFAULT,,5,5,0,-15,何意味
207,Day 2,外星人,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖/的/血液,1,渴望 你们 血液,,20,-15,-20,-10,嗜血生物
207,Day 2,外星人,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖/的/血液,2,躲避 寒冷,血液,-15,0,15,10,避寒请求
207,Day 2,外星人,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖/的/血液,3,我们 渴望 温暖,血液,-15,5,10,10,弱小生物
207,Day 2,外星人,我们/是/为了/躲避/寒冷/才/渴望/你们/温暖/的/血液,99,DEFAULT,,0,0,0,-15,何意味
208,Day 2,外星人,我们/需要/有机/物质,1,需要 有机 物质,,10,0,5,0,
208,Day 2,外星人,我们/需要/有机/物质,99,DEFAULT,,0,0,0,-15,何意味
209,Day 2,外星人,黄金/对/我们/嚎无价值/只要/你们/海洋里的/盐分,1,黄金 嚎无价值,盐分,-10,-10,5,5,外星人看不起黄金
209,Day 2,外星人,黄金/对/我们/嚎无价值/只要/你们/海洋里的/盐分,2,只要 盐分,,5,5,10,10,贸易请求
209,Day 2,外星人,黄金/对/我们/嚎无价值/只要/你们/海洋里的/盐分,3,我们 只要 你们,盐分 黄金 嚎无价值,10,-10,0,-15,人类被当做资源
209,Day 2,外星人,黄金/对/我们/嚎无价值/只要/你们/海洋里的/盐分,4,我们 嚎无价值 只要 你们,盐分 黄金,10,-10,0,0,令人不安的谦虚
209,Day 2,外星人,黄金/对/我们/嚎无价值/只要/你们/海洋里的/盐分,99,DEFAULT,,0,0,0,-15,何意味
210,Day 2,外星人,并不/打算/通过/强制/手段/掠夺/这些/珍贵的/液体,1,强制 掠夺,并不,20,-10,-20,0,强行掠夺警告
210,Day 2,外星人,并不/打算/通过/强制/手段/掠夺/这些/珍贵的/液体,2,并不 掠夺,,-20,5,15,10,温和贸易
210,Day 2,外星人,并不/打算/通过/强制/手段/掠夺/这些/珍贵的/液体,3,手段 掠夺,,-20,5,15,10,温和贸易
210,Day 2,外星人,并不/打算/通过/强制/手段/掠夺/这些/珍贵的/液体,99,DEFAULT,,0,0,0,-15,何意味
211,Day 2,外星人,我们的/手领/非常/想/一起品尝/你们/的/晚餐,1,一起品尝 你们,晚餐,20,-15,-15,0,外星人吃人
211,Day 2,外星人,我们的/手领/非常/想/一起品尝/你们/的/晚餐,2,一起品尝 晚餐,你们,-20,5,20,10,外交宴会请求
211,Day 2,外星人,我们的/手领/非常/想/一起品尝/你们/的/晚餐,3,手领 想 晚餐,,-15,5,0,10,外交宴会请求
211,Day 2,外星人,我们的/手领/非常/想/一起品尝/你们/的/晚餐,4,手领 想 你们,,-5,0,10,5,不合时宜的亲近
211,Day 2,外星人,我们的/手领/非常/想/一起品尝/你们/的/晚餐,99,DEFAULT,,0,0,0,-15,何意味
212,Day 2,外星人,可以/提出/你们的/需求,1,提出 需求,,0,0,10,10,开放式贸易邀请
212,Day 2,外星人,可以/提出/你们的/需求,99,DEFAULT,,0,5,0,-15,何意味
301,Day 3,地球,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,1,多余的 你们的 技术,交换 盐分,0,15,-25,0,真是傲慢
301,Day 3,地球,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,2,提供 盐分 交换,,0,5,15,10,正常的贸易提议
301,Day 3,地球,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,3,提供,交换,0,-10,15,10,正常的贸易提议
301,Day 3,地球,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,4,多余的 盐分 交换 你们的 技术,,0,5,15,10,正常的贸易提议
301,Day 3,地球,我们/可以/提供/多余的/盐分/来/交换/你们的/技术,99,DEFAULT,,0,0,0,-15,何意味
302,Day 3,地球,除非/这种/技术/受/我们/监督/否则/绝不允许/你们/接触海洋,1,绝不允许 监督 除非 否则,,0,15,-20,0,拒绝
302,Day 3,地球,除非/这种/技术/受/我们/监督/否则/绝不允许/你们/接触海洋,2,绝不允许 接触海洋,监督 除非 技术,0,15,-20,0,拒绝
302,Day 3,地球,除非/这种/技术/受/我们/监督/否则/绝不允许/你们/接触海洋,3,监督 接触海洋,绝不允许,0,10,10,10,谨慎的合作条款
302,Day 3,地球,除非/这种/技术/受/我们/监督/否则/绝不允许/你们/接触海洋,4,除非 监督 否则 绝不允许 接触海洋,,0,10,10,10,谨慎的合作条款
302,Day 3,地球,除非/这种/技术/受/我们/监督/否则/绝不允许/你们/接触海洋,99,DEFAULT,,0,0,0,-15,何意味
303,Day 3,地球,任何/跨星系的/运输/必须/在/指定/的/中立/公海/交货,1,必须 交货,中立 公海,0,10,-20,0,人类不礼貌地索取
303,Day 3,地球,任何/跨星系的/运输/必须/在/指定/的/中立/公海/交货,2,公海 交货,,-5,0,15,10,规范的贸易地点约定
303,Day 3,地球,任何/跨星系的/运输/必须/在/指定/的/中立/公海/交货,99,DEFAULT,,0,0,0,-15,何意味
304,Day 3,外星人,我们/在/这离/静候/了/零点/一个/世纪,1,静候 一个 世纪,零点,20,-10,0,0,有点吓人
304,Day 3,外星人,我们/在/这离/静候/了/零点/一个/世纪,2,零点 一个 世纪,,0,5,5,10,还算正常
304,Day 3,外星人,我们/在/这离/静候/了/零点/一个/世纪,99,DEFAULT,,0,0,0,-15,何意味
305,Day 3,外星人,我们/橙邀/人类/在/地表/散播/共荣的/种子,1,散播 种子,共荣,10,-5,-10,0,疑似投放生化武器
305,Day 3,外星人,我们/橙邀/人类/在/地表/散播/共荣的/种子,2,共荣 种子,,-20,-10,20,10,跨文明生物进化合作
305,Day 3,外星人,我们/橙邀/人类/在/地表/散播/共荣的/种子,3,地表 散播 种子,,0,0,0,5,简单的植物交换
305,Day 3,外星人,我们/橙邀/人类/在/地表/散播/共荣的/种子,99,DEFAULT,,0,0,0,-15,何意味
306,Day 3,外星人,请/交出/月球背面/控制权/以便/部署/针对/潜在敌人/的/前哨站,1,交出 控制权,,15,-10,-20,0,激怒地球防卫军
306,Day 3,外星人,请/交出/月球背面/控制权/以便/部署/针对/潜在敌人/的/前哨站,2,针对 潜在敌人,交出,10,0,15,5,联合防御条约
306,Day 3,外星人,请/交出/月球背面/控制权/以便/部署/针对/潜在敌人/的/前哨站,3,部署 前哨站,,5,10,-5,5,科研基站租借
306,Day 3,外星人,请/交出/月球背面/控制权/以便/部署/针对/潜在敌人/的/前哨站,99,DEFAULT,,0,0,0,-15,何意味
307,Day 3,外星人,受伤的/部分同胞/必须/进入/地表下/进行/深度休棉,1,必须 进入 地表下,深度休棉,25,5,-15,10,地底渗透和暗杀埋伏
307,Day 3,外星人,受伤的/部分同胞/必须/进入/地表下/进行/深度休棉,2,受伤的 部分同胞 深度休棉,必须,-5,-5,10,15,难民的无奈诉求
307,Day 3,外星人,受伤的/部分同胞/必须/进入/地表下/进行/深度休棉,2,受伤的 部分同胞 进入 地表下,,5,0,10,15,奇怪的物种
307,Day 3,外星人,受伤的/部分同胞/必须/进入/地表下/进行/深度休棉,99,DEFAULT,,0,0,0,-15,何意味
308,Day 3,外星人,如果/愿意/放下/防御/你们/将/获得/永恒/的/庇护,1,放下 防御 庇护,,20,-20,20,-10,命令放下防御
308,Day 3,外星人,如果/愿意/放下/防御/你们/将/获得/永恒/的/庇护,2,永恒 庇护,放下,-10,-5,5,0,宗教式祝福
308,Day 3,外星人,如果/愿意/放下/防御/你们/将/获得/永恒/的/庇护,99,DEFAULT,,0,0,0,-15,何意味
309,Day 3,地球,我们/愿意/在/尊重/主权/的/前提下/开启/共存/的/对话,1,尊重 主权 共存,,-10,0,20,5,共荣
309,Day 3,地球,我们/愿意/在/尊重/主权/的/前提下/开启/共存/的/对话,2,尊重 主权 开启 对话,,-10,0,20,5,共荣
309,Day 3,地球,我们/愿意/在/尊重/主权/的/前提下/开启/共存/的/对话,3,尊重 前提下 开启 对话,,-10,0,20,5,共荣
309,Day 3,地球,我们/愿意/在/尊重/主权/的/前提下/开启/共存/的/对话,4,主权 前提下 开启 对话,,-10,0,20,5,共荣
309,Day 3,地球,我们/愿意/在/尊重/主权/的/前提下/开启/共存/的/对话,5,我们 愿意 尊重 主权 ,前提下 的 开启 在 ,-5,-10,10,5,稍软的和平回应
309,Day 3,地球,我们/愿意/在/尊重/主权/的/前提下/开启/共存/的/对话,5,共存 对话,主权,-5,-10,10,5,稍软的和平回应
309,Day 3,地球,我们/愿意/在/尊重/主权/的/前提下/开启/共存/的/对话,99,DEFAULT,,0,0,0,-15,何意味
310,Day 3,地球,任何/未经授权/的/掘进/都/将被/视为/宣战,1,掘进 视为 宣战,未经授权,15,20,-20,0,宣战警告
310,Day 3,地球,任何/未经授权/的/掘进/都/将被/视为/宣战,2,掘进 将被 宣战,未经授权,15,20,-20,0,宣战警告
310,Day 3,地球,任何/未经授权/的/掘进/都/将被/视为/宣战,3,未经授权 视为 宣战,,5,10,-5,10,中等强度的边境警告
310,Day 3,地球,任何/未经授权/的/掘进/都/将被/视为/宣战,4,未经授权 将被 宣战,,5,10,-5,10,中等强度的边境警告
310,Day 3,地球,任何/未经授权/的/掘进/都/将被/视为/宣战,99,DEFAULT,,0,0,0,-15,何意味
311,Day 3,地球,为了/和平/我们/接受/来自/你们/的/沟通/与/部分/指导,1,接受 指导,部分 沟通,10,-20,25,0,大幅削弱主权
311,Day 3,地球,为了/和平/我们/接受/来自/你们/的/沟通/与/部分/指导,2,接受 沟通 部分 指导,,0,0,10,10,常规和平姿态
311,Day 3,地球,为了/和平/我们/接受/来自/你们/的/沟通/与/部分/指导,3,为了 我们 接受 指导,部分 沟通,0,15,-15,0,人类强势姿态
311,Day 3,地球,为了/和平/我们/接受/来自/你们/的/沟通/与/部分/指导,4,为了 和平 沟通,指导,-5,0,10,10,常规和平姿态
311,Day 3,地球,为了/和平/我们/接受/来自/你们/的/沟通/与/部分/指导,5,为了 和平 接受 你们,指导 沟通,0,0,10,0,我们不想打仗
311,Day 3,地球,为了/和平/我们/接受/来自/你们/的/沟通/与/部分/指导,99,DEFAULT,,0,0,0,-15,何意味
